name,iata,icao,latitude,longitude,country
Aksu Airport,AKU,ZWAK,41.262501,80.291664,China
Altay Airport,AAT,ZWAT,47.750362,88.084442,China
Anqing Tianzhushan Airport,AQG,ZSAQ,30.582222,117.050278,China
Anshan Teng'ao Airport,AOG,ZYAS,41.103523,122.855835,China
Anshun Huangguoshu Airport,AVA,ZUAS,26.260555,105.873337,China
Arxan Yiershi Airport,YIE,ZBES,47.310555,119.911942,China
Baishan Changbaishan Airport,NBS,ZYBS,42.088055,127.548889,China
Baoshan Yunduan Airport,BSD,ZPBS,25.055182,99.16143,China
Baotou Erliban Airport,BAV,ZBOW,40.55999,109.996902,China
Beihai Fucheng Airport,BHY,ZGBH,21.53944,109.2938,China
Beijing Capital International Airport,PEK,ZBAA,40.080109,116.584503,China
Beijing Nanyuan Airport,NAY,ZBNY,39.782501,116.387779,China
Bijie Feixiong Airport,BFJ,ZUBJ,27.300278,105.301392,China
Changchun Longjia International Airport,CGQ,ZYCC,43.996208,125.685303,China
Changde Taohuayuan Airport,CGD,ZGCD,28.91888,111.640198,China
Changsha Huanghua International Airport,CSX,ZGHA,28.196667,113.220833,China
Changzhi Wangcun Airport,CIH,ZBCZ,36.247501,113.125801,China
Changzhou Benniu Airport,CZX,ZSCG,31.91972,119.778603,China
Chaoyang Airport,CHG,ZYCY,41.538101,120.434998,China
Chengdu Shuangliu International Airport,CTU,ZUUU,30.57852,103.946999,China
Chifeng Yulong Airport,CIF,ZBCF,42.235001,118.908302,China
Chongqing Jiangbei International Airport,CKG,ZUCK,29.71921,106.641602,China
Dali Airport,DLU,ZPDL,25.649401,100.319,China
Dalian Zhoushuizi International Airport,DLC,ZYTL,38.96566,121.538597,China
Dandong Langtou Airport,DDG,ZYDD,40.025551,124.286598,China
Daocheng Yading Airport,DCY,ZUDC,29.323055,100.053329,China
Datong Yungang Airport,DAT,ZBDT,40.055538,113.481361,China
Dayong Zhangjiajie Hehua Airport,DYG,ZGDY,29.107121,110.445686,China
Dazhou Heshi Airport,DAX,ZUDX,31.135012,107.426888,China
Dongsheng Ordos Ejin Horo Airport,DSN,ZBDS,39.849998,110.033333,China
Dunhuang Airport,DNH,ZLDH,40.16111,94.809158,China
Enshi Xujiaping Airport,ENH,ZHES,30.320278,109.485001,China
Fuyang Xiguan Airport,FUG,ZSFY,32.882156,115.734367,China
Fuzhou Changle International Airport,FOC,ZSFZ,25.935061,119.6632,China
Ganzhou Huangjin Airport,KOW,ZSGZ,25.851667,114.776665,China
Guangyuan Panlong Airport,GYS,ZUGU,32.389999,105.693336,China
Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China
Guilin Liangjiang International Airport,KWL,ZGKL,25.2181,110.039101,China
Guiyang Longdongbao International Airport,KWE,ZUGY,26.538521,106.800697,China
Haikou Meilan International Airport,HAK,ZJHK,19.934851,110.4589,China
Hailar Hulunbuir Airport,HLD,ZBLA,49.20499,119.824997,China
Hami Airport,HMI,ZWHM,42.842499,93.669441,China
Handan Airport,HDG,ZBHD,36.523888,114.43,China
Hangzhou Xiaoshan International Airport,HGH,ZSHC,30.2295,120.434402,China
Harbin Taiping International Airport,HRB,ZYHB,45.623402,126.250298,China
Hefei Xinqiao International Airport,HFE,ZSOF,31.986345,116.970474,China
Heihe Airport,HEK,ZYHE,50.171619,127.308884,China
Hengyang Nanyue Airport,HNY,ZGHY,26.721945,112.618057,China
Hohhot Baita International Airport,HET,ZBHH,40.851421,111.824097,China
Hotan Airport,HTN,ZWTN,37.038521,79.864929,China
Huai'an Lianshui Airport,HIA,ZSSH,33.777222,119.147781,China
Huaihua Zhijiang Airport,HJJ,ZGCJ,30.42,111.75,China
Huangshan Tunxi International Airport,TXN,ZSTX,29.73333,118.255798,China
Huangyan Luqiao Airport,HYN,ZSLQ,28.56222,121.428596,China
Huizhou Pingtan Airport,HUZ,ZGHZ,23.050419,114.596863,China
Ji'an Airport,JGS,ZSJA,26.899721,114.737503,China
Jiamusi Dongjiao Airport,JMU,ZYJM,46.845394,130.455414,China
Jiayuguan Airport,JGN,ZLJQ,39.830002,98.410004,China
Jieyang Chaoshan International Airport,SWA,ZGOW,23.5525,116.505836,China
Jinan Yaoqiang International Airport,TNA,ZSJN,36.857208,117.215897,China
Jinchang Jinchuan Airport,JIC,ZLJC,38.541943,102.347778,China
Jingdezhen Luojia Airport,JDZ,ZSJD,29.33861,117.175797,China
Jinghong Xishuangbanna Gasa Airport,JHG,ZPJH,21.973421,100.766457,China
Jining Qufu Airport,JNG,ZLJN,35.290001,116.339996,China
Quanzhou Jinjiang Airport,JJN,ZSQZ,24.802809,118.587296,China
Jinzhou Bay Airport,JNZ,ZYJZ,40.936111,121.276947,China
Jixi Airport,JXA,ZYJX,45.306084,130.99675,China
Kangding Airport,KGT,ZUKD,30.13176,101.747536,China
Karamay Airport,KRY,ZWKM,45.466389,84.952499,China
Kashgar Airport,KHG,ZWSH,39.542919,76.019951,China
Korla Airport,KRL,ZWKL,41.689999,86.120003,China
Kunming Changshui International Airport,KMG,ZPPP,25.101944,102.929169,China
Kuqa Qiuci Airport,KCA,ZWKC,41.166668,83.699997,China
Lanzhou Zhongchuan International Airport,LHW,ZLLL,36.51524,103.620697,China
Lhasa Gonggar Airport,LXA,ZULS,29.29777,90.911942,China
Lianyungang Baitabu Airport,LYG,ZSLG,34.571659,118.873596,China
Lijiang Sanyi Airport,LJG,ZPLJ,26.683332,100.25,China
Linyi Shubuling Airport,LYI,ZSLY,35.046112,118.411667,China
Liuzhou Bailian Airport,LZH,ZGZH,24.2075,109.391098,China
Longyan Guanzhishan Airport,LCX,ZSLD,25.6747,116.747002,China
Luoyang Beijiao Airport,LYA,ZHLY,34.741112,112.388298,China
Luzhou Lantian Airport,LZO,ZULZ,28.844757,105.379021,China
Macau International Airport,MFM,VMMC,22.149549,113.591499,China
Mangshi Airport,LUM,ZPLX,24.405279,98.531898,China
Manzhouli Xijiao Airport,NZH,ZBMZ,49.560001,117.32,China
Meixian Airport,MXZ,ZGMX,24.268999,116.103996,China
Mianyang Nanjiao Airport,MIG,ZUMY,31.43111,104.738052,China
Mudanjiang Hailang Airport,MDG,ZYMD,44.52,129.559998,China
Nanchang Changbei International Airport,KHN,ZSCN,28.865,115.900002,China
Nanchong Gaoping Airport,NAO,ZUNC,30.754,106.061996,China
Nanjing Lukou International Airport,NKG,ZSNJ,31.742041,118.862,China
Nanning Wuxu International Airport,NNG,ZGNN,22.608259,108.172401,China
Nantong Xingdong Airport,NTG,ZSNT,32.072922,120.975601,China
Nanyang Jiangying Airport,NNY,ZHNY,32.98,112.610001,China
Ningbo Lishe International Airport,NGB,ZSNB,29.826679,121.461899,China
Nyingchi Mainling Airport,LZY,ZUNZ,29.309076,94.335884,China
Pu'er Simao Airport,SYM,ZPSM,22.79657,100.962219,China
Qianjiang Wulingshan Airport,JIQ,ZUQJ,29.5175,108.82917,China
Qingdao Liuting International Airport,TAO,ZSQD,36.266102,120.374397,China
Qingyang Airport,IQN,ZLQY,35.799702,107.602997,China
Qiqihar Sanjiazi Airport,NDG,ZYQQ,47.316666,123.916664,China
Quzhou Airport,JUZ,ZSJU,28.965799,118.899002,China
Sanya Phoenix International Airport,SYX,ZJSY,18.302891,109.412201,China
Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China
Shanghai Hongqiao International Airport,SHA,ZSSS,31.19787,121.336304,China
Shangri-La Diqing Airport,DIG,ZPDQ,27.793333,99.67733,China
Shenyang Taoxian International Airport,SHE,ZYTX,41.639839,123.483398,China
Shenzhen Bao'an International Airport,SZX,ZGSZ,22.63925,113.8106,China
Shijiazhuang Zhengding International Airport,SJW,ZBSJ,38.274376,114.694427,China
Songpan Jiuzhai Huanglong Airport,JZH,ZUJZ,32.856667,103.68306,China
Taiyuan Wusu International Airport,TYN,ZBYN,37.746891,112.628403,China
Tangshan Sannuhe Airport,TVS,ZBTS,39.718784,117.99791,China
Tengchong Tuofeng Airport,TCZ,ZUTC,24.939379,98.482025,China
Tianjin Binhai International Airport,TSN,ZBTJ,39.124352,117.3461,China
Tonghua Sanyuanpu Airport,TNH,ZYTN,42.253887,125.703331,China
Tongliao Airport,TGO,ZBTL,43.55666,122.199699,China
Tongren Fenghuang Airport,TEN,ZUTR,27.883333,109.308891,China
Turpan Jiaohe Airport,TLQ,ZWTP,43.019962,89.074547,China
Ulanhot Airport,HLH,ZBUL,46.194439,122.008598,China
Urumqi Diwopu International Airport,URC,ZWWW,43.907101,87.474243,China
Wanzhou Wuqiao Airport,WXN,ZULP,30.799679,108.426949,China
Weifang Airport,WEF,ZSWF,36.646702,119.119003,China
Weihai Dashuibo Airport,WEH,ZSWH,37.188141,122.236069,China
Wenshan Puzhehei Airport,WNH,ZPWS,23.374907,104.242561,China
Wenzhou Longwan International Airport,WNZ,ZSWZ,27.91222,120.851898,China
Wuhai Airport,WUA,ZBUH,39.791943,106.803329,China
Wuhan Tianhe International Airport,WUH,ZHHH,30.783751,114.208099,China
Wuzi Sunan Shuofang International Airport,WUX,ZSWX,31.492889,120.424377,China
Wuyishan Airport,WUS,ZSWY,27.716667,117.966667,China
Xi'an Xianyang International Airport,XIY,ZLXY,34.447109,108.751503,China
Xiahe Gannan Airport,GXH,ZLXH,34.810555,102.644722,China
Xiamen Gaoqi International Airport,XMN,ZSAM,24.544029,118.127701,China
Xiangyang Liuji Airport,XFN,ZHXF,32.150551,112.290802,China
Xichang Qingshan Airport,XIC,ZUXC,27.98908,102.184303,China
Xilinhot Airport,XIL,ZBXH,43.91555,115.963799,China
Xingyi Wanfenglin Airport,ACX,ZUYI,25.08639,104.959442,China
Xining Caojiabao Airport,XNN,ZLXN,36.525322,102.037537,China
Xuzhou Guanyin Airport,XUZ,ZSXZ,34.052925,117.554077,China
Yan'an Ershilipu Airport,ENY,ZLYA,36.636902,109.554001,China
Yancheng Nanyang Airport,YNZ,ZSYN,33.385555,120.125275,China
Yangzhou Taizhou Airport,YTY,ZSYA,32.563057,119.718887,China
Yanji Chaoyangchuan Airport,YNJ,ZYYJ,42.885662,129.439362,China
Yantai Penglai International Airport,YNT,ZSYT,37.657223,120.987221,China
Yibin Caiba Airport,YBP,ZUYB,28.797659,104.543953,China
Yichang Sanxia Airport,YIH,ZHYC,30.556473,111.479942,China
Yichun Mingyueshan Airport,YIC,ZSYC,27.803333,114.30806,China
Yinchuan Hedong International Airport,INC,ZLIC,38.322769,106.393303,China
Yingkou Lanqi Airport,YKH,ZYYK,40.540833,122.35833,China
Yining Airport,YIN,ZWYN,43.955833,81.330276,China
Yiwu Airport,YIW,ZSYW,29.344563,120.028809,China
Yongzhou Lingling Airport,LLF,ZGLG,26.338661,111.610046,China
Yulin Yuyang Airport,UYN,ZLYL,38.274166,109.730278,China
Yuncheng Guangong Airport,YCU,ZBYC,35.018002,110.992996,China
Zhangjiakou Ningyuan Airport,ZQZ,ZBZJ,40.739227,114.931458,China
Zhanjiang Airport,ZHA,ZGZJ,21.214439,110.358299,China
Zhaotong Airport,ZAT,ZPZT,27.316668,103.800003,China
Zhengzhou Xinzheng International Airport,CGO,ZHCC,34.519669,113.840797,China
Zhongwei Airport,ZHY,ZLZW,37.568935,105.152527,China
Zhoushan Putuoshan Airport,HSN,ZSZS,29.9342,122.362,China
Zhuhai Jinwan Airport,ZUH,ZGSD,22.00666,113.376297,China
Zunyi Xinzhou Airport,ZYI,ZUZY,27.59,106.999725,China